,BHK,Rent,Size,Area Type,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,FloorNo,TotalFloor
92,1,8000,300,Carpet Area,Kolkata,Semi-Furnished,Bachelors,1,Contact Agent,1,3
93,1,6000,300,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,Ground,1
94,3,12000,800,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,Ground,1
95,3,15000,1600,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,1,3
96,2,14000,1000,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,1,3
97,1,5000,20,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,2,3
98,2,7000,400,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,2
99,1,3900,200,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,2,2
100,3,14000,840,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Owner,1,4
101,1,6300,300,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,1,1
102,2,13000,550,Carpet Area,Kolkata,Furnished,Bachelors/Family,2,Contact Agent,1,2
103,1,6800,300,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,1,2
104,2,8000,800,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,1,1
105,2,10000,740,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,Ground,6
106,2,18000,1300,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,1,1
107,2,8000,650,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,Ground,1
108,2,8000,490,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,1
109,1,4700,250,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,2,2
110,1,4700,250,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,Ground,1
111,1,4500,450,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1,2
112,1,6000,300,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,Ground,1
113,2,16000,750,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,1,3
114,1,4700,250,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,1,2
115,2,14000,751,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,3,3
116,2,9000,900,Carpet Area,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner,Ground,2
117,2,5000,400,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,3
118,2,17500,1000,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent,Ground,2
119,2,8500,1000,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,1
120,3,15000,1500,Carpet Area,Kolkata,Semi-Furnished,Family,2,Contact Owner,1,1
121,2,12500,750,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,1,3
122,1,13000,1200,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,2,4
123,2,8000,700,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,1
124,2,8000,700,Carpet Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,4,4
125,2,8000,1000,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,Ground,2
126,2,7000,1200,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,1,3
127,2,8000,800,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,Ground,4
128,2,5500,280,Super Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,1,3
129,2,7000,950,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,Ground,2
130,1,3500,250,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,1,2
131,2,5000,1000,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,Ground,2
132,2,7000,650,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,2
133,2,10000,700,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,1,2
134,2,7000,700,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,Ground,3
135,3,12000,1000,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,Ground,3
136,2,14500,900,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Owner,1,4
137,1,6000,700,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1,2
138,2,9500,700,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,1,2
139,2,10000,450,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,2,1
140,1,3500,120,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,3
141,2,9000,800,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,2
142,3,16500,1100,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,3
143,3,8000,700,Carpet Area,Kolkata,Unfurnished,Family,2,Contact Owner,Ground,3
144,2,12000,800,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,Ground,3
145,2,6500,670,Super Area,Kolkata,Unfurnished,Family,1,Contact Owner,2,2
146,1,5000,190,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,Ground,2
147,2,9000,700,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,Ground,2
148,1,7000,240,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,Ground,4
149,2,18000,850,Carpet Area,Kolkata,Semi-Furnished,Family,1,Contact Owner,2,4
150,1,9000,950,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,1,2
151,1,5500,450,Carpet Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,1,2
152,2,7500,800,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,Ground,2
153,2,4000,600,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1,2
154,3,10500,800,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Owner,2,2
155,3,15000,1100,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,Ground,2
156,2,15000,800,Carpet Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,Ground,2
157,2,12000,950,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Owner,1,1
158,2,11000,550,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,2,3
159,2,12000,1800,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Owner,1,1
160,2,8000,1000,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,Ground,2
161,2,18000,600,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,Ground,3
162,2,8000,750,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,2,4
163,2,7000,685,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,2,3
164,1,6500,44,Carpet Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,Ground,1
165,4,13000,1200,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,2
166,2,9000,500,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,Ground,2
167,4,10000,1110,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,2,2
168,2,12000,1000,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,1,3
169,2,5000,392,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,2
170,2,6000,700,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1,2
171,1,5200,750,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,2,4
172,3,15000,1500,Super Area,Kolkata,Unfurnished,Family,2,Contact Owner,1,2
173,2,9000,900,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,Ground,1
174,1,5500,400,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,3
175,1,10000,700,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,1,2
176,2,15000,1000,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,Ground,2
177,1,4700,250,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,1,2
178,1,5000,500,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,Ground,3
179,2,5000,450,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,2,2
180,3,15000,1400,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1,3
181,1,5000,500,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,1
182,2,6000,700,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,1
183,3,18000,1200,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,3
184,2,8000,450,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,1,2
185,1,13000,500,Carpet Area,Kolkata,Furnished,Bachelors,1,Contact Agent,2,2
186,2,7500,400,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,1
187,3,12000,1000,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,Ground,1
188,2,11000,750,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,Ground,1
189,1,6000,450,Super Area,Kolkata,Unfurnished,Family,1,Contact Owner,Ground,2
190,2,7000,500,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Owner,1,1
191,2,7500,550,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,Ground,1
192,1,6500,550,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,1,2
193,2,5200,650,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,1,2
194,2,12500,680,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,Ground,2
195,2,8500,720,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,Ground,1
196,2,3500,500,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,4,5
197,2,7000,800,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,2
198,2,14000,1200,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Agent,1,2
199,1,18000,700,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,Ground,4
200,1,3500,1000,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,Ground,1
201,2,16000,1250,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Agent,Ground,1
202,1,4500,450,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,2
203,2,15000,839,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,3
204,1,4500,230,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,3
205,1,5500,1800,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,2
206,2,8500,800,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,1,2
207,1,5000,500,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,Ground,1
208,2,8500,620,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,Ground,1
209,2,9000,650,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,2,3
210,1,7500,550,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Agent,1,2
211,2,7000,450,Carpet Area,Kolkata,Furnished,Bachelors,2,Contact Owner,1,3
212,3,15000,1350,Carpet Area,Kolkata,Unfurnished,Family,2,Contact Owner,1,2
213,2,7000,600,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,2,2
214,3,10000,1200,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,2,4
215,2,7000,700,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,1,2
216,3,3200,800,Carpet Area,Kolkata,Furnished,Bachelors/Family,2,Contact Owner,1,3
217,2,6000,600,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,Ground,3
218,2,12000,900,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,1,3
219,2,6000,750,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,1
220,3,10000,1250,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,1,2
221,3,12000,1000,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,3,Contact Owner,2,2
222,2,8000,600,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,Ground,2
223,2,5300,650,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1,1
224,2,5000,450,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,2,3
225,3,8500,800,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,Ground,2
226,2,7000,1000,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,3
227,2,7000,600,Carpet Area,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner,1,4
228,2,15000,723,Carpet Area,Kolkata,Furnished,Family,1,Contact Owner,Ground,3
229,1,6000,320,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,2
230,2,8000,900,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,Ground,3
231,1,6000,2160,Super Area,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner,1,2
232,2,15000,650,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,Ground,2
233,2,6500,800,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,1
234,3,8000,800,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,2,3
235,1,5500,500,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,2
236,3,9000,1700,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,2
237,1,6000,130,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,Ground,2
238,1,15000,505,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,Ground,3
239,1,5000,700,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,2
240,2,15000,900,Super Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,Ground,1
241,1,6500,650,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,1
242,2,4500,750,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,Ground,1
243,2,7000,450,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,3
244,1,6500,350,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,2
245,1,17500,480,Carpet Area,Kolkata,Furnished,Bachelors,2,Contact Owner,1,2
246,2,10000,900,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,3
247,2,12000,800,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1,2
248,3,7500,1000,Carpet Area,Kolkata,Furnished,Bachelors/Family,2,Contact Owner,Ground,2
249,1,7000,800,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1,2
250,1,3500,200,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,Upper Basement,4
251,3,10000,1190,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,1,2
252,2,14000,900,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Agent,Ground,2
253,2,15000,1500,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,Ground,2
254,2,6500,600,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,2,3
255,3,10000,800,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,4
256,2,10500,800,Carpet Area,Kolkata,Unfurnished,Family,2,Contact Owner,1,2
257,3,10000,900,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,Ground,3
258,1,5000,350,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,Ground,3
259,2,9000,800,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,2
260,3,15000,1200,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Owner,Ground,2
261,2,12000,1000,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,3
262,2,8000,800,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,Ground,3
263,1,9000,450,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Agent,Ground,2
264,3,13000,950,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,Ground,2
265,1,7000,350,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,Ground,2
266,1,9000,450,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,Ground,3
267,1,9000,550,Carpet Area,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner,Ground,2
268,2,10000,300,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,Ground,1
269,3,15000,1250,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,Ground,3
270,2,7000,700,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,2,3
271,3,8000,812,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,Ground,3
272,2,8000,550,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,2
273,1,5000,500,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,Ground,1
